,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"@WholeMarsBlog Agreed, necessary change",2903,124,2022-11-11 08:36:05+00:00
1,elonmusk,Hit all-time high of active users today,50058,2910,2022-11-11 08:34:25+00:00
2,elonmusk,"@TeslaTomMY1 2023 will probably be tough, but my companies are positioned well",2501,200,2022-11-11 08:20:46+00:00
3,elonmusk,Some epically funny tweets 🤣🤣,33872,1545,2022-11-11 07:42:42+00:00
4,elonmusk,@stillgray @EmmanuelMacron We will take action in this regard,2784,178,2022-11-11 07:38:08+00:00
5,elonmusk,Quite the day!,90742,5380,2022-11-11 07:30:42+00:00
6,elonmusk,@EmmanuelMacron Absolument,8562,488,2022-11-11 07:28:50+00:00
7,elonmusk,@WholeMarsBlog I agree,12913,530,2022-11-11 04:39:30+00:00
8,elonmusk,@stillgray Absolutely,4234,165,2022-11-11 01:58:16+00:00
9,elonmusk,@FeuxManning Yes,2611,89,2022-11-11 01:57:02+00:00
10,elonmusk,"To be more precise, accounts doing parody impersonations. Basically, tricking people is not ok.",105656,6975,2022-11-11 01:56:34+00:00
11,elonmusk,"Going forward, accounts engaged in parody must include “parody” in their name, not just in bio",219364,19470,2022-11-11 01:51:49+00:00
12,elonmusk,"@stoolpresidente Even I paid $8, no discount",53268,2046,2022-11-10 23:07:09+00:00
13,elonmusk,Usage of Twitter continues to rise. One thing is for sure: it isn’t boring!,337015,24216,2022-11-10 19:15:51+00:00
14,elonmusk,@DojaCat You should be able to change your name now,71047,2094,2022-11-10 19:04:26+00:00
15,elonmusk,@gainzy222 I’d watch that movie 🍿,32075,1218,2022-11-10 18:33:42+00:00
16,elonmusk,@kcoleman Community Notes is a gamechanger for improving accuracy on Twitter!,13597,790,2022-11-10 18:29:12+00:00
17,elonmusk,@Youssofal_ @BiasedGirl $8,25380,1232,2022-11-10 18:17:51+00:00
18,elonmusk,@Jeaia @StephenKing @Twitter @jack Yay!,4307,112,2022-11-10 17:25:03+00:00
19,elonmusk,"@BiasedGirl Far too many corrupt legacy Blue “verification” checkmarks exist, so no choice but to remove legacy Blue in coming months",52143,4739,2022-11-10 17:24:35+00:00
20,elonmusk,@farzyness @Twitter Indeed,3304,131,2022-11-10 17:21:51+00:00
21,elonmusk,I love when people complain about Twitter … on Twitter 🤣🤣,1105492,92142,2022-11-10 17:17:22+00:00
22,elonmusk,@TechAmazing Wow,27206,858,2022-11-10 17:05:40+00:00
23,elonmusk,@HansMahncke @micsolana 🤣🤣,2829,103,2022-11-10 17:02:46+00:00
24,elonmusk,@StephenKing 👻,159161,4696,2022-11-10 16:46:33+00:00
25,elonmusk,https://t.co/FxdcXa1I7i,270697,17151,2022-11-10 16:41:54+00:00
26,elonmusk,@DJSnM I’m not seeing much spam in this reply,6071,174,2022-11-10 15:59:25+00:00
27,elonmusk,@davidzweig Yes,3021,95,2022-11-10 15:49:06+00:00
28,elonmusk,@Ki_PenYakki_ay Coming,78139,3122,2022-11-10 08:25:16+00:00
29,elonmusk,@JimMFelton 🤣🤣,10700,247,2022-11-10 08:20:04+00:00
30,elonmusk,"@mcuban It’s working for me. That said, we can definitely make the verified mentions tab more usable.",10081,360,2022-11-10 08:15:04+00:00
31,elonmusk,@chhcalling What does a tosh look like?,5438,208,2022-11-10 08:08:11+00:00
32,elonmusk,Are you seeing far fewer bots/scams/spam?,74199,8879,2022-11-10 07:47:53+00:00
33,elonmusk,@Teslaconomics It’s awesome 🫐,31188,1030,2022-11-10 06:51:26+00:00
34,elonmusk,@DojaCat Pretty funny though 🤣🤣,52461,1040,2022-11-10 06:44:47+00:00
35,elonmusk,@DojaCat Working on it!,85528,1986,2022-11-10 06:42:02+00:00
36,elonmusk,@GooseWayn That’s coming,15171,415,2022-11-10 02:59:32+00:00
37,elonmusk,@Pentosh1 You’re welcome!,38760,1196,2022-11-10 02:56:41+00:00
38,elonmusk,@TeslaAIBot 🤣,31922,1090,2022-11-10 02:43:53+00:00
39,elonmusk,"@micsolana Rollout of new verified Blue is intentionally limited just to iOS in a few countries with very little promotion. 

As we iron out issues, we will expand worldwide on all platforms.",4908,445,2022-11-10 02:37:38+00:00
40,elonmusk,"@micsolana In days to come, we’ll add granularity to verified badge, such as organizational affiliation &amp; ID verification",6373,491,2022-11-10 01:38:32+00:00
41,elonmusk,"@micsolana We are changing the text to say “Legacy Verified. Could be notable, but could also be bogus.”",24902,1349,2022-11-10 00:45:30+00:00
42,elonmusk,@guslabu @tomwarren 🎯😎💰,4904,218,2022-11-09 23:14:53+00:00
43,elonmusk,@StarringShane Subscription Blue is better than legacy Blue. I switched over.,39656,2001,2022-11-09 23:04:29+00:00
44,elonmusk,@PPathole The goal of Twitter DMs is to superset Signal,20293,791,2022-11-09 19:29:02+00:00
45,elonmusk,@eglyman @tryramp @Twitter Twitter is growing super fast. I hope it continues!!,64607,4340,2022-11-09 19:27:28+00:00
46,elonmusk,"@EvaFoxU @BillyM2k Hopefully, as soon as next week",3603,197,2022-11-09 19:22:40+00:00
47,elonmusk,@BillyM2k Totally agree!,5292,262,2022-11-09 19:15:15+00:00
48,elonmusk,"@TOIPlus Nope, I was alway 🥜 !",103411,4448,2022-11-09 17:58:22+00:00
